-0.872120 -0.523766
-0.867351 -0.520252
-0.862734 -0.516834
-0.858264 -0.513508
-0.853933 -0.510270
-0.849735 -0.507115
-0.845664 -0.504041
-0.841715 -0.501042
-0.837882 -0.498117
-0.834160 -0.495262
-0.830544 -0.492473
-0.827031 -0.489748
-0.823616 -0.487085
-0.820294 -0.484481
-0.817063 -0.481934
-0.813919 -0.479441
-0.810857 -0.477000
-0.807876 -0.474609
-0.804972 -0.472267
-0.802141 -0.469970
-0.799383 -0.467719
-0.796692 -0.465511
-0.794068 -0.463344
-0.791508 -0.461217
-0.789010 -0.459128
-0.786570 -0.457077
-0.784188 -0.455062
-0.781862 -0.453081
-0.779589 -0.451133
-0.777367 -0.449218
-0.775196 -0.447335
-0.773073 -0.445481
-0.770997 -0.443657
-0.768965 -0.441860
-0.766978 -0.440091
-0.765033 -0.438349
-0.763129 -0.436632
-0.761265 -0.434940
-0.759440 -0.433273
-0.757652 -0.431628
-0.755900 -0.430006
-0.754183 -0.428406
-0.752501 -0.426828
-0.750852 -0.425270
-0.749234 -0.423732
-0.747649 -0.422214
-0.746093 -0.420714
-0.744567 -0.419233
-0.743070 -0.417770
-0.741601 -0.416324
-0.740159 -0.414895
-0.738743 -0.413482
-0.737353 -0.412086
-0.735988 -0.410705
-0.734647 -0.409339
-0.733330 -0.407988
-0.732036 -0.406651
-0.730764 -0.405328
-0.729515 -0.404019
-0.728287 -0.402723
-0.727079 -0.401440
-0.725892 -0.400169
-0.724725 -0.398911
-0.723577 -0.397665
-0.722447 -0.396431
-0.721337 -0.395208
-0.720244 -0.393996
-0.719168 -0.392794
-0.718110 -0.391604
-0.717068 -0.390424
-0.716043 -0.389254
-0.715033 -0.388093
-0.714039 -0.386943
-0.713061 -0.385802
-0.712097 -0.384670
-0.711147 -0.383547
-0.710212 -0.382432
-0.709291 -0.381327
-0.708383 -0.380230
-0.707489 -0.379141
-0.706607 -0.378060
-0.705739 -0.376987
-0.704882 -0.375921
-0.704038 -0.374863
-0.703206 -0.373813
-0.702385 -0.372769
-0.701576 -0.371733
-0.700778 -0.370704
-0.699991 -0.369681
-0.699215 -0.368665
-0.698449 -0.367656
-0.697694 -0.366653
-0.696949 -0.365656
-0.696213 -0.364665
-0.695488 -0.363681
-0.694771 -0.362702
-0.694065 -0.361729
-0.693367 -0.360761
-0.692678 -0.359799
-0.691998 -0.358843
